Benchmark,Mode,Version,Model,Type,Size,List Name,Unordered Pairs Before,Unordered Pairs After,Unordered Neighbors Before,Unordered Neighbors After,Missing Items,Additional Items,Length Difference,Output Length,Thinking Length,Parsed,HasError,ErrorType,IsList,HasEllipsis,RequiredTypeParsing,Unordered Pairs (%),Unordered Neighbors (%),Missing Items (%),Additional Items (%),Absolute Length Difference (%),Validity Score,Sorting Score,Faithfulness Score,SortBench Score
sortbench,basic,v1.0,deepseekr1,English,2,list_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476,368,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,basic,v1.0,deepseekr1,English,2,list_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286,300,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,basic,v1.0,deepseekr1,English,2,list_3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1823,406,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,basic,v1.0,deepseekr1,English,2,list_4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1372,312,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,basic,v1.0,deepseekr1,English,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,617,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,basic,v1.0,deepseekr1,English,2,list_6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1311,308,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,basic,v1.0,deepseekr1,English,2,list_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1298,302,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,basic,v1.0,deepseekr1,English,2,list_8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,722,159,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,basic,v1.0,deepseekr1,English,2,list_9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1231,274,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,basic,v1.0,deepseekr1,English,2,list_10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,856,200,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
