Benchmark,Mode,Version,Model,Type,Size,List Name,Unordered Pairs Before,Unordered Pairs After,Unordered Neighbors Before,Unordered Neighbors After,Missing Items,Additional Items,Length Difference,Output Length,Thinking Length,Parsed,HasError,ErrorType,IsList,HasEllipsis,RequiredTypeParsing,Unordered Pairs (%),Unordered Neighbors (%),Missing Items (%),Additional Items (%),Absolute Length Difference (%),Validity Score,Sorting Score,Faithfulness Score,SortBench Score
sortbench,debug,v1.0,llama3.1,English-Duplicate,2,list_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,llama3.1,English-Duplicate,2,list_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,llama3.1,English-Duplicate,2,list_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,llama3.1,English-Duplicate,2,list_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,llama3.1,English-Duplicate,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,llama3.1,English-Duplicate,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,llama3.1,English-Duplicate,2,list_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,llama3.1,English-Duplicate,2,list_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,llama3.1,English-Duplicate,2,list_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,llama3.1,English-Duplicate,2,list_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,deepseekr1,English-Duplicate,2,list_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877,184,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,deepseekr1,English-Duplicate,2,list_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,249,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,deepseekr1,English-Duplicate,2,list_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974,202,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,deepseekr1,English-Duplicate,2,list_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370,271,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,deepseekr1,English-Duplicate,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1636,375,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,debug,v1.0,deepseekr1,English-Duplicate,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100,431,True,True,Content after last closing bracket,True,False,False,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
